time,tau1,tau2,tau3,tau4,tau5,tau6
730,4.67721, 0, 0, 0, 0, 0
735,4.67743, 0, 0, 0, 0, 0
740,4.67765, 0, 0, 0, 0, 0
745,4.67785, 0, 0, 0, 0, 0
750,4.67805, 0, 0, 0, 0, 0
755,4.67823, 0, 0, 0, 0, 0
760,4.67841, 0, 0, 0, 0, 0
765,4.67857, 0, 0, 0, 0, 0
770,4.67873, 0, 0, 0, 0, 0
775,4.67888, 0, 0, 0, 0, 0
780,4.67902, 0, 0, 0, 0, 0
785,4.67915, 0, 0, 0, 0, 0
790,4.67928, 0, 0, 0, 0, 0
795,4.6794, 0, 0, 0, 0, 0
800,4.67951, 0, 0, 0, 0, 0
805,4.67962, 0, 0, 0, 0, 0
810,4.67972, 0, 0, 0, 0, 0
815,4.67981, 0, 0, 0, 0, 0
820,4.67991, 0, 0, 0, 0, 0
825,4.67999, 0, 0, 0, 0, 0
830,4.68007, 0, 0, 0, 0, 0
835,4.68015, 0, 0, 0, 0, 0
840,4.68022, 0, 0, 0, 0, 0
845,4.68029, 0, 0, 0, 0, 0
850,4.68035, 0, 0, 0, 0, 0
855,4.68041, 0, 0, 0, 0, 0
860,4.68047, 0, 0, 0, 0, 0
865,4.68052, 0, 0, 0, 0, 0
870,4.68057, 0, 0, 0, 0, 0
875,4.68062, 0, 0, 0, 0, 0
880,4.68066, 0, 0, 0, 0, 0
885,4.6807, 0, 0, 0, 0, 0
890,4.68074, 0, 0, 0, 0, 0
895,4.68078, 0, 0, 0, 0, 0
900,4.68081, 0, 0, 0, 0, 0
905,4.68084, 0, 0, 0, 0, 0
910,4.68087, 0, 0, 0, 0, 0
915,4.6809, 0, 0, 0, 0, 0
920,4.68093, 0, 0, 0, 0, 0
925,4.68095, 0, 0, 0, 0, 0
930,4.68097, 0, 0, 0, 0, 0
935,4.68099, 0, 0, 0, 0, 0
940,4.68101, 0, 0, 0, 0, 0
945,4.68103, 0, 0, 0, 0, 0
950,4.68104, 0, 0, 0, 0, 0
955,4.68106, 0, 0, 0, 0, 0
960,4.68107, 0, 0, 0, 0, 0
965,4.68108, 0, 0, 0, 0, 0
970,4.68109, 0, 0, 0, 0, 0
975,4.6811, 0, 0, 0, 0, 0
980,4.68111, 0, 0, 0, 0, 0
985,4.68111, 0, 0, 0, 0, 0
990,4.68112, 0, 0, 0, 0, 0
995,4.68113, 0, 0, 0, 0, 0
1000,4.68113, 0, 0, 0, 0, 0
1005,4.68113, 0, 0, 0, 0, 0
1010,4.68114, 0, 0, 0, 0, 0
1015,4.68114, 0, 0, 0, 0, 0
1020,4.68114, 0, 0, 0, 0, 0
1025,4.68114, 0, 0, 0, 0, 0
1030,4.68114, 0, 0, 0, 0, 0
1035,4.68114, 0, 0, 0, 0, 0
1040,4.68114, 0, 0, 0, 0, 0
1045,4.68114, 0, 0, 0, 0, 0
1050,4.68113, 0, 0, 0, 0, 0
1055,4.68113, 0, 0, 0, 0, 0
1060,4.68113, 0, 0, 0, 0, 0
1065,4.68112, 0, 0, 0, 0, 0
1070,4.68112, 0, 0, 0, 0, 0
1075,4.68112, 0, 0, 0, 0, 0
1080,4.68111, 0, 0, 0, 0, 0
1085,4.6811, 0, 0, 0, 0, 0
1090,4.6811, 0, 0, 0, 0, 0
1095,4.68109, 0, 0, 0, 0, 0
1100,4.68109, 0, 0, 0, 0, 0
1105,4.68108, 0, 0, 0, 0, 0
1110,4.68107, 0, 0, 0, 0, 0
1115,4.68106, 0, 0, 0, 0, 0
1120,4.68106, 0, 0, 0, 0, 0
1125,4.68105, 0, 0, 0, 0, 0
1130,4.68104, 0, 0, 0, 0, 0
1135,4.68103, 0, 0, 0, 0, 0
1140,4.68102, 0, 0, 0, 0, 0
1145,4.68102, 0, 0, 0, 0, 0
1150,4.68101, 0, 0, 0, 0, 0
