time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
215,0,-0.000450144,-3.60832e-05,1.05913,0.00115591,-5.81024e-05,0.00732867,0.152501,0.183198,0.246186,-0.581884
220,0,-0.000342719,-0.000237228,1.05888,0.000976679,-9.32494e-05,0.00731002,0.152614,0.183089,0.246211,-0.581914
225,0,-0.000197468,-0.000291141,1.0586,0.000508369,-0.000125979,0.00729137,0.152725,0.182986,0.24623,-0.581941
230,0,-1.4238e-05,-0.000129413,1.0583,-0.000268211,-0.000161974,0.0072652,-0.182858,-0.152856,0.581955,-0.246241
235,0,0.000193827,0.000255866,1.05799,-0.00086998,-0.000162749,0.00726422,-0.18285,-0.152855,0.58195,-0.246245
240,0,0.000395949,0.00075706,1.05767,-0.00118359,-0.000145991,0.00724948,-0.182846,-0.152852,0.58188,-0.246182
245,0,0.000564577,0.00126293,1.05732,-0.00127159,-0.00010787,0.00722398,-0.182863,-0.152832,0.581746,-0.246051
250,0,0.000658631,0.00165449,1.05693,-0.000939261,-3.30834e-05,0.00718523,-0.182928,-0.152776,0.581516,-0.245812
255,0,0.000636611,0.0018177,1.05647,-0.000394658,7.95318e-05,0.00710736,-0.581438,0.245725,0.182667,0.153046
260,0,0.000481975,0.00166538,1.05593,0.000452276,0.000166219,0.0070479,-0.245764,0.581476,-0.15335,-0.182362
265,0,0.000230437,0.00120666,1.05533,0.00105266,0.000227699,0.00700073,-0.245786,0.581487,-0.153572,-0.18213
270,0,-6.97773e-05,0.000567772,1.05469,0.00144089,0.000258946,0.00698527,-0.245819,0.581509,-0.153662,-0.182028
275,0,-0.000378729,-0.000126168,1.05405,0.00145134,0.000242294,0.00697467,-0.245762,0.581452,-0.153653,-0.182037
280,0,-0.000686675,-0.000785335,1.05341,0.00120455,0.000234649,0.00697774,-0.24575,0.581447,-0.153635,-0.182063
285,0,-0.000977967,-0.00131969,1.05275,0.000680193,0.000217091,0.00695521,-0.245659,0.581368,-0.153656,-0.182053
290,0,-0.00121598,-0.00162427,1.05206,-8.83887e-05,0.000154726,0.00690871,-0.581144,0.245429,0.182075,0.153639
295,0,-0.00135889,-0.00163792,1.0513,-0.000834094,6.12384e-05,0.00685245,-0.58083,0.245123,0.182131,0.153576
300,0,-0.0013665,-0.00140137,1.05047,-0.00119089,-6.00238e-05,0.00677469,-0.181956,-0.153742,0.58065,-0.244952
305,0,-0.00122595,-0.000989889,1.04954,-0.00111715,-0.000159256,0.00669659,-0.181587,-0.154113,0.580673,-0.244973
310,0,-0.000979741,-0.000527658,1.04854,-0.000781941,-0.000217404,0.00664975,-0.181371,-0.154336,0.580688,-0.244981
315,0,-0.000656915,-0.000120098,1.0475,-0.000302712,-0.000272583,0.00659518,-0.181144,-0.154569,0.580679,-0.244966
320,0,-0.000264598,0.000153571,1.0464,0.000703591,-0.000325626,0.00655261,0.154766,0.180942,0.244979,-0.580688
325,0,0.00016461,0.000241503,1.04525,0.00135704,-0.000342882,0.00651408,0.154878,0.180815,0.244936,-0.580629
330,0,0.000570716,0.000171314,1.04406,0.00195137,-0.000313085,0.00646938,0.154906,0.180763,0.244789,-0.580459
335,0,0.000898478,-1.71129e-05,1.04282,0.00191879,-0.000230449,0.00642098,0.15485,0.180821,0.244518,-0.580189
340,0,0.00110771,-0.000275481,1.0415,0.00166079,-0.000131038,0.00633892,0.154841,0.180841,0.244134,-0.579816
345,0,0.00115892,-0.000559666,1.04008,0.00120394,9.94833e-06,0.0062469,-0.243684,0.579382,-0.154812,-0.180885
350,0,0.00103849,-0.000804491,1.03855,0.000257502,0.000141061,0.00614592,-0.243712,0.579426,-0.155302,-0.180412
355,0,0.000782851,-0.000900643,1.03693,-0.000934902,0.000243261,0.00608631,-0.579492,0.243788,0.180073,0.155631
360,0,0.000428539,-0.000791858,1.03523,-0.00194113,0.000306138,0.00601029,-0.579433,0.243763,0.179765,0.155905
365,0,3.22762e-05,-0.000512802,1.03347,-0.00260087,0.000321106,0.00596462,-0.579345,0.24371,0.179617,0.156018
370,0,-0.000354524,-0.000111238,1.03169,-0.00299296,0.000305257,0.00595284,-0.579275,0.243665,0.17961,0.155999
375,0,-0.000695258,0.000357662,1.02988,-0.00299054,0.0002605,0.00590681,-0.579085,0.243475,0.179598,0.156012
380,0,-0.00095206,0.000844716,1.02801,-0.00266377,0.00018619,0.00584764,-0.578819,0.243188,0.179626,0.156005
385,0,-0.00108609,0.00130588,1.02606,-0.00212428,6.85856e-05,0.00575984,-0.578409,0.242748,0.179681,0.15598
390,0,-0.00105899,0.00170048,1.02401,-0.0012351,-7.07596e-05,0.00566105,-0.179478,-0.156218,0.578215,-0.242519
395,0,-0.000860927,0.00196373,1.02185,4.56088e-05,-0.000187754,0.00556253,0.156673,0.179041,0.242526,-0.57824
400,0,-0.000552897,0.00201705,1.01958,0.00112694,-0.00026852,0.00548197,0.157001,0.178698,0.242518,-0.578217
405,0,-0.00019437,0.0018924,1.01726,0.00180479,-0.000283907,0.00544203,0.157107,0.178569,0.242473,-0.578149
410,0,0.000164084,0.00163832,1.01488,0.00219556,-0.000275562,0.00539418,0.157185,0.178472,0.242361,-0.578019
415,0,0.000495955,0.00131705,1.01248,0.00227518,-0.000253894,0.00535285,0.15723,0.178423,0.242231,-0.577884
420,0,0.000787023,0.00099507,1.01003,0.00212449,-0.000223461,0.00529986,0.157289,0.178372,0.242051,-0.577713
425,0,0.0010033,0.000719844,1.00752,0.00162353,-0.00014483,0.00523159,0.157293,0.178391,0.241737,-0.57742
430,0,0.00110818,0.000533528,1.00492,0.000754592,-4.02704e-05,0.00514628,0.157283,0.178425,0.241333,-0.577041
435,0,0.00106552,0.000475735,1.0022,-0.000238744,8.93787e-05,0.00502542,-0.576879,0.241166,0.178069,0.157644
440,0,0.000867404,0.000562653,0.999359,-0.00110591,0.00020596,0.00492774,-0.576892,0.241192,0.177621,0.158079
445,0,0.000566055,0.000759746,0.996418,-0.00174781,0.000273346,0.0048435,-0.576833,0.241155,0.177295,0.158383
450,0,0.000214215,0.00102435,0.993406,-0.00203847,0.000312594,0.00478723,-0.576783,0.241118,0.17709,0.158576
455,0,-0.000159484,0.00130157,0.990335,-0.00206146,0.000333468,0.00473316,-0.576708,0.241043,0.176931,0.158733
460,0,-0.000546795,0.00152785,0.987203,-0.00185352,0.000331574,0.00466693,-0.576567,0.240892,0.176797,0.158877
465,0,-0.000933618,0.00164772,0.984001,-0.00131884,0.000344238,0.00458285,-0.576421,0.240727,0.176602,0.159092
470,0,-0.0012855,0.00162135,0.980709,-0.000585441,0.000288289,0.00449088,-0.576121,0.240411,0.176524,0.159186
475,0,-0.00156465,0.00141323,0.977302,0.000453362,0.000219552,0.00439028,-0.240059,0.575771,-0.159266,-0.176446
480,0,-0.00172242,0.00103711,0.973766,0.00138441,8.77287e-05,0.00427663,-0.239565,0.575257,-0.159238,-0.176454
485,0,-0.00169322,0.000605955,0.9701,0.0017993,-9.01239e-05,0.00414814,0.159509,0.176167,0.239304,-0.57498
490,0,-0.00146284,0.00020429,0.966302,0.00209524,-0.000242457,0.0040469,0.160019,0.175644,0.239397,-0.575059
495,0,-0.00107772,-0.000126073,0.962406,0.00198619,-0.00037634,0.00396545,0.16046,0.175208,0.239487,-0.575155
500,0,-0.000578579,-0.000344146,0.958438,0.00159456,-0.000480671,0.00389592,0.160823,0.174861,0.239538,-0.575223
505,0,2.26136e-05,-0.000398872,0.954404,0.00113939,-0.000560345,0.00381962,0.161151,0.174548,0.239528,-0.575227
510,0,0.000716862,-0.000242265,0.950304,0.000405271,-0.000642416,0.00376038,0.161446,0.174266,0.23956,-0.575272
515,0,0.00147581,0.00016163,0.946121,-0.000576727,-0.000687298,0.00368341,-0.174013,-0.161698,0.575198,-0.239488
520,0,0.00224591,0.000795323,0.94184,-0.00154203,-0.000669772,0.0035865,-0.173831,-0.161855,0.574947,-0.23926
525,0,0.00294963,0.001544,0.937467,-0.00205864,-0.000590882,0.00350765,-0.173812,-0.161853,0.574612,-0.238948
530,0,0.00352033,0.00229901,0.933005,-0.00216892,-0.000467274,0.00342125,-0.173873,-0.161786,0.574182,-0.238523
535,0,0.00392009,0.00297408,0.928436,-0.0019771,-0.000292399,0.00331708,-0.174007,-0.161662,0.57362,-0.237952
540,0,0.00411741,0.00349554,0.923739,-0.00144302,-9.51534e-05,0.00319167,-0.174145,-0.161545,0.572978,-0.237288
545,0,0.00408227,0.00380003,0.918893,-0.000689753,0.000119278,0.0030417,-0.572721,0.237013,0.173793,0.161916
550,0,0.00381007,0.00383916,0.913891,0.000190818,0.000321337,0.00291052,-0.237137,0.572851,-0.162592,-0.173122
555,0,0.00335152,0.0036246,0.908769,0.00100949,0.000475016,0.00280259,-0.237223,0.572926,-0.163116,-0.172586
560,0,0.00276394,0.0032621,0.903563,0.00143286,0.000569916,0.00272782,-0.237263,0.572953,-0.163454,-0.172236
565,0,0.00209776,0.002855,0.898308,0.00143278,0.000632739,0.00267783,-0.237285,0.572975,-0.163683,-0.172007
