time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
270,0.0237502, -0.0117904, -9.71187,-0.0723729, 0.121388, -0.239552,0.422909, -0.595812, 0.050334
275,-0.0170927, 0.00865217, -9.87143,-0.0747464, 0.115805, -0.242433,-0.815499, 2.71628, 0.919649
280,0.0395367, -0.0065544, -9.71012,-0.0642679, 0.114393, -0.238787,0.585388, -1.53273, 1.23262
285,0.0704688, 0.022614, -9.89628,-0.0398289, 0.107839, -0.247294,-1.8097, 0.443326, -1.28618
290,0.11838, -0.0100627, -9.70937,-0.00287439, 0.0791707, -0.267092,0.318946, 0.360336, -1.77645
295,0.109267, -0.00411844, -9.89717,0.0335078, 0.0346989, -0.291334,-0.168716, 0.255063, -0.792701
300,0.0241696, 0.0213341, -9.69335,0.0512798, -0.0238448, -0.325533,-0.709149, -1.47214, -0.438312
305,-0.166295, 0.0156106, -9.9456,0.0484398, -0.0724894, -0.359586,1.82421, -0.800039, 0.591673
310,-0.163063, -0.0292299, -9.69345,0.0331759, -0.101742, -0.378521,-0.635167, 3.00048, -1.26349
315,-0.161952, -0.0153599, -9.92959,0.0111793, -0.129395, -0.400972,-1.05319, 0.812823, 0.457691
320,-0.195687, 0.0330441, -9.72433,-0.0367216, -0.155579, -0.41753,1.03992, -0.393248, 0.861074
325,-0.0694797, 0.0175546, -9.91647,-0.0667807, -0.164094, -0.431988,0.357368, 0.441734, 0.389506
330,0.0697511, -0.0128145, -9.73069,-0.0940262, -0.149668, -0.449252,-3.17332, 0.291398, -0.610705
335,-0.0293392, 0.0187894, -9.90169,-0.0904342, -0.10968, -0.4681,-0.102626, -1.69367, -0.0267777
340,-0.100386, 0.0338048, -9.68279,-0.0762964, -0.0614677, -0.502721,-1.15957, -0.249294, -0.981857
345,-0.198451, 0.0604472, -9.90371,-0.0531757, 0.00662951, -0.541736,0.132913, -0.636532, 0.0772371
350,-0.267806, -0.0184295, -9.74253,-0.00663453, 0.0698919, -0.584648,0.0944926, 0.684805, 0.230819
355,-0.240303, 0.0323771, -9.90797,0.051379, 0.118884, -0.607556,-0.493229, 0.55081, -0.296476
