time,Vnom,I_mA,mAh_remaining
840,8.39465,30985.1,99.7519
845,8.39461,30986.4,99.75
850,8.39458,30987.5,99.748
855,8.39454,30988.6,99.7461
860,8.3945,30989.6,99.7441
865,8.39446,30990.6,99.7422
870,8.39442,30991.5,99.7402
875,8.39439,30992.4,99.7382
880,8.39435,30993.2,99.7363
885,8.39431,30994,99.7343
890,8.39427,30994.7,99.7324
895,8.39424,30995.4,99.7304
900,8.3942,30996.1,99.7285
905,8.39416,30996.7,99.7265
910,8.39412,30997.2,99.7245
915,8.39409,30997.8,99.7226
920,8.39405,30998.3,99.7206
925,8.39401,30998.8,99.7187
930,8.39397,30999.2,99.7167
935,8.39394,30999.6,99.7148
940,8.3939,31000,99.7128
945,8.39386,31000.4,99.7108
950,8.39382,31000.7,99.7089
955,8.39378,31001,99.7069
960,8.39375,31001.3,99.705
965,8.39371,31001.6,99.703
970,8.39367,31001.8,99.7011
975,8.39363,31002,99.6991
980,8.3936,31002.3,99.6971
985,8.39356,31002.4,99.6952
990,8.39352,31002.6,99.6932
995,8.39348,31002.8,99.6913
1000,8.39345,31002.9,99.6893
1005,8.39341,31003.1,99.6874
1010,8.39337,31003.2,99.6854
1015,8.39333,31003.3,99.6834
1020,8.3933,31003.4,99.6815
1025,8.39326,31003.5,99.6795
1030,8.39322,31003.5,99.6776
1035,8.39318,31003.6,99.6756
1040,8.39314,31003.6,99.6737
1045,8.39311,31003.7,99.6717
1050,8.39307,31003.7,99.6697
1055,8.39303,31003.7,99.6678
1060,8.39299,31003.8,99.6658
1065,8.39296,31003.8,99.6639
1070,8.39292,31003.8,99.6619
1075,8.39288,31003.8,99.66
1080,8.39284,31003.7,99.658
1085,8.39281,31003.7,99.656
1090,8.39277,31003.7,99.6541
1095,8.39273,31003.7,99.6521
1100,8.39269,31003.6,99.6502
1105,8.39266,31003.6,99.6482
1110,8.39262,31003.5,99.6463
1115,8.39258,31003.5,99.6443
1120,8.39254,31003.4,99.6423
1125,8.39251,31003.4,99.6404
