time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
310,0,0,0,1.02775,0,0,0.00480458,-0.209141,0.209141,0.209141,-0.209141
315,0,0,0,1.0244,0,0,0.00464249,-0.208793,0.208793,0.208793,-0.208793
320,0,0,0,1.02085,0,0,0.00447861,-0.208441,0.208441,0.208441,-0.208441
325,0,0,0,1.01711,0,0,0.00431312,-0.208087,0.208087,0.208087,-0.208087
330,0,0,0,1.01318,0,0,0.00414618,-0.207731,0.207731,0.207731,-0.207731
335,0,0,0,1.00905,0,0,0.00397794,-0.207374,0.207374,0.207374,-0.207374
340,0,0,0,1.00472,0,0,0.00380856,-0.207015,0.207015,0.207015,-0.207015
345,0,0,0,1.0002,0,0,0.00363816,-0.206655,0.206655,0.206655,-0.206655
350,0,0,0,0.995469,0,0,0.00346689,-0.206294,0.206294,0.206294,-0.206294
355,0,0,0,0.99054,0,0,0.00329488,-0.205933,0.205933,0.205933,-0.205933
360,0,0,0,0.985407,0,0,0.00312223,-0.205571,0.205571,0.205571,-0.205571
365,0,0,0,0.980071,0,0,0.00294906,-0.20521,0.20521,0.20521,-0.20521
370,0,0,0,0.97453,0,0,0.00277549,-0.204849,0.204849,0.204849,-0.204849
375,0,0,0,0.968784,0,0,0.0026016,-0.204488,0.204488,0.204488,-0.204488
380,0,0,0,0.962833,0,0,0.0024275,-0.204128,0.204128,0.204128,-0.204128
385,0,0,0,0.956675,0,0,0.00225328,-0.203769,0.203769,0.203769,-0.203769
390,0,0,0,0.950311,0,0,0.00207901,-0.203411,0.203411,0.203411,-0.203411
395,0,0,0,0.94374,0,0,0.00190478,-0.203054,0.203054,0.203054,-0.203054
400,0,0,0,0.936963,0,0,0.00173066,-0.202698,0.202698,0.202698,-0.202698
405,0,0,0,0.929979,0,0,0.00155672,-0.202345,0.202345,0.202345,-0.202345
410,0,0,0,0.922788,0,0,0.00138302,-0.201992,0.201992,0.201992,-0.201992
415,0,0,0,0.915391,0,0,0.00120962,-0.201642,0.201642,0.201642,-0.201642
420,0,0,0,0.907788,0,0,0.00103658,-0.201293,0.201293,0.201293,-0.201293
425,0,0,0,0.89998,0,0,0.000863949,-0.200946,0.200946,0.200946,-0.200946
430,0,0,0,0.891967,0,0,0.000691776,-0.200602,0.200602,0.200602,-0.200602
435,0,0,0,0.883749,0,0,0.000520107,-0.200259,0.200259,0.200259,-0.200259
440,0,0,0,0.875328,0,0,0.000348977,-0.199919,0.199919,0.199919,-0.199919
445,0,0,0,0.866705,0,0,0.000178432,-0.199581,0.199581,0.199581,-0.199581
450,0,0,0,0.85788,0,0,8.49739e-06,-0.199245,0.199245,0.199245,-0.199245
455,0,0,0,0.848855,0,0,-0.000160789,0.199546,-0.199546,-0.199546,0.199546
460,0,0,0,0.839675,0,0,-0.000265194,0.199753,-0.199753,-0.199753,0.199753
465,0,0,0,0.830475,0,0,-0.000282158,0.199787,-0.199787,-0.199787,0.199787
470,0,0,0,0.821319,0,0,-0.000287161,0.199796,-0.199796,-0.199796,0.199796
475,0,0,0,0.812208,0,0,-0.000292656,0.199807,-0.199807,-0.199807,0.199807
480,0,0,0,0.803143,0,0,-0.000298629,0.199819,-0.199819,-0.199819,0.199819
485,0,0,0,0.794125,0,0,-0.000305054,0.199832,-0.199832,-0.199832,0.199832
490,0,0,0,0.785153,0,0,-0.000311924,0.199846,-0.199846,-0.199846,0.199846
495,0,0,0,0.776229,0,0,-0.000319217,0.19986,-0.19986,-0.19986,0.19986
