time,p.x,p.y,p.z,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z,v.x,v.y,v.z,v.r,v.p,v.yaw,pdot.x,pdot.y,pdot.z,vdot.x,vdot.y,vdot.z,vdot.r,vdot.p,vdot.yaw
360,-1.0009, 0.999999, 3.99999,1.30568, 0.0149107, -0.0375713,0.794284,0.607211,0.0173314,-0.0103934,-0.00977953, -0.000116061, 4.79421e-05, 7.72488, 0.0191146, -0.0942997,-0.00977519, -0.000121914, 0.000292996,-0.457286, -0.0012393, 0.0903413, -10.0002, -16.1176, 9.8017
380,-1.00118, 0.999997, 3.99999,1.45662, 0.00655538, -0.0394027,0.746196,0.665427,0.0155581,-0.0125209,-0.0162405, -0.000115198, -8.26422e-05, 7.35983, -0.244993, 0.066246,-0.0162326, 3.14223e-05, 0.000524969,-0.120498, 0.000896109, -0.0854327, -24.3792, -13.7904, 8.41151
400,-1.00149, 0.999997, 4,1.59784, -0.00552273, -0.0371342,0.697321,0.716513,0.0113788,-0.0149279,-0.014682, -8.16857e-05, 2.88413e-05, 6.80681, -0.376107, 0.145355,-0.0146748, 3.35212e-05, 0.000466876,0.154956, 0.00154135, 0.0955062, -30.2799, -3.40624, 2.01788
420,-1.00177, 1, 4.00001,1.72729, -0.0179727, -0.0324879,0.649449,0.760178,0.00651052,-0.0173829,-0.0129151, -4.16337e-05, -4.15664e-05, 6.20371, -0.40132, 0.159295,-0.0129068, 0.000205677, 0.000416864,0.0361024, 0.00220966, -0.084602, -29.9407, 0.40294, -0.328345
440,-1.00202, 1, 4.00002,1.84488, -0.0293798, -0.0265633,0.603602,0.79704,0.00171528,-0.0197269,-0.0125246, -3.80696e-06, 5.51922e-05, 5.6139, -0.383198, 0.159686,-0.0125165, 0.00020668, 0.000402123,-0.0516343, 0.00163264, 0.0943202, -29.0221, 3.16897, 1.45029
460,-1.0023, 1.00001, 4.00003,1.95104, -0.038127, -0.0190153,0.560459,0.827908,-0.00281776,-0.021113,-0.0160392, 4.74511e-05, -4.28875e-05, 5.04583, -0.218768, 0.251708,-0.0160222, 0.000472125, 0.000572353,-0.244297, 0.00383221, -0.0865275, -27.8137, 14.1306, 8.27464
480,-1.00268, 1.00002, 4.00004,2.04624, -0.0398263, -0.00781718,0.520533,0.853601,-0.00703191,-0.0190341,-0.0218305, 0.000176534, -4.17329e-05, 4.49855, 0.204028, 0.504107,-0.0218091, 0.000650617, 0.000737597,-0.329324, 0.0100833, -0.0940756, -26.9469, 27.3289, 16.4534
500,-1.00316, 1.00003, 4.00006,2.13085, -0.0331104, 0.00694488,0.484116,0.874841,-0.0110525,-0.0128041,-0.0250165, 0.000437395, -3.7647e-05, 3.99452, 0.384474, 0.605345,-0.0250034, 0.000595218, 0.000702074,0.0374517, 0.0144934, -0.100469, -23.2643, 0.98478, 0.0628051
520,-1.00365, 1.00004, 4.00007,2.20619, -0.0241643, 0.0212357,0.450892,0.892434,-0.0149233,-0.00599728,-0.024266, 0.000717378, -8.35207e-05, 3.58723, 0.403084, 0.606449,-0.0242662, 0.000420834, 0.000579139,0.0375572, 0.0139048, -0.101495, -17.8141, 0.885315, 0.0488662
540,-1.00413, 1.00005, 4.00008,2.27419, -0.0140211, 0.034684,0.420268,0.907207,-0.0186808,0.00092662,-0.0235136, 0.000988661, 3.28144e-05, 3.25742, 0.41994, 0.607304,-0.0235316, 0.000115629, 0.000343343,0.0376702, 0.0132851, 0.0772969, -16.5488, 0.805258, 0.0371407
560,-1.00459, 1.00005, 4.00009,2.33529, -0.00294851, 0.0473659,0.392241,0.919556,-0.0223604,0.00793473,-0.0227596, 0.00125194, -4.24166e-05, 2.90272, 0.43516, 0.607901,-0.0227929, -4.02714e-05, 0.000219953,0.0377057, 0.0131899, -0.102669, -18.7426, 0.719122, 0.0225968
580,-1.00504, 1.00005, 4.00009,2.38874, 0.00868359, 0.0593346,0.367314,0.929614,-0.0259905,0.01494,-0.0226734, 0.00150683, 5.65256e-05, 2.51186, 0.427077, 0.59496,-0.0227216, -0.000290792, -5.69122e-05,-0.0984187, 0.0126184, 0.0768605, -20.1828, -3.75055, -2.67792
600,-1.00554, 1.00004, 4.00008,2.43414, 0.018599, 0.0695739,0.345867,0.937593,-0.0294059,0.0207654,-0.0279243, 0.0017594, -3.42245e-06, 2.10027, 0.244895, 0.47724,-0.0279746, -0.000197801, -0.000497138,-0.409784, 0.012383, 0.0793394, -20.8657, -13.9338, -8.8014
620,-1.00621, 1.00004, 4.00007,2.47155, 0.022431, 0.0759388,0.32813,0.943803,-0.0321627,0.0230642,-0.0383742, 0.00198274, 6.58128e-05, 1.6767, -0.162878, 0.221951,-0.0384031, 0.000147761, -0.00130401,-0.572825, 0.00844738, 0.0912217, -21.4242, -27.6473, -17.2267
640,-1.00715, 1.00005, 4.00003,2.49926, 0.0152162, 0.0760455,0.315164,0.948245,-0.0336689,0.0192134,-0.0564682, 0.00201811, 4.57574e-05, 0.9878, -0.774627, -0.160851,-0.05645, 0.00126395, -0.00212781,-1.07384, -0.00705613, -0.0533449, -44.773, -35.1562, -23.2418
660,-1.00849, 1.0001, 3.99999,2.51003, -0.00633416, 0.0667654,0.310487,0.949986,-0.032709,0.00735658,-0.0760681, 0.00146801, 0.000134295, -0.0656502, -1.39583, -0.772518,-0.0759935, 0.00310335, -0.00197182,-0.883959, -0.0519401, 0.00695397, -59.9975, -26.9926, -36.8791
680,-1.01011, 1.00018, 3.99996,2.50016, -0.0374584, 0.045738,0.315517,0.94846,-0.0275997,-0.010561,-0.0819118, -7.86982e-05, 0.000648972, -0.967373, -1.54285, -1.19369,-0.0817884, 0.00451234, -0.000512481,0.129291, -0.0918158, 0.0300196, -34.2526, 6.40334, -9.44839
