time,d1,d2,d3,d4,d5,d6
1680,-0.0168044, 0.0176855, 0.0316882, 0.00167704, -0.00096945, 0.000816332
1700,-0.0162204, 0.018864, 0.0311459, 0.0015436, -0.000884783, 0.000777903
1720,-0.015704, 0.0198665, 0.030671, 0.00133741, -0.000807996, 0.000741945
1740,-0.0152491, 0.0206654, 0.0302846, 0.00104409, -0.00073906, 0.000708454
1760,-0.0148496, 0.0212376, 0.029995, 0.000664508, -0.000678038, 0.000677445
1780,-0.0144998, 0.0215682, 0.0297978, 0.000214474, -0.000624976, 0.000648919
1800,-0.0141946, 0.021652, 0.0296786, 0, -0.00057981, 0.000622846
1820,-0.0139293, 0.0214868, 0.029622, 0, -0.00054242, 0.00059918
1840,-0.0137, 0.0210703, 0.0296178, -0.000275156, -0.000512599, 0.000577865
1860,-0.0135034, 0.0204038, 0.0296665, -0.000941434, -0.000489884, 0.000558782
1880,-0.0133369, 0.0194905, 0.0297804, -0.00165034, -0.000473618, 0.000541772
1900,-0.0131985, 0.0183277, 0.0299836, -0.00240032, -0.000463184, 0.000526703
1920,-0.0130868, 0.0169422, 0.0302923, -0.00284861, -0.000457348, 0.000513265
1940,-0.0130007, 0.0154782, 0.0306611, -0.00285216, -0.000452735, 0.000500471
1960,-0.0129395, 0.0140417, 0.0310344, -0.00268139, -0.000447335, 0.000487718
1980,-0.0129024, 0.0126753, 0.031377, -0.00248342, -0.000440611, 0.000474843
2000,-0.0128881, 0.011395, 0.0316691, -0.00225858, -0.000432536, 0.000461836
2020,-0.0128954, 0.0102221, 0.0318919, -0.00197395, -0.000422915, 0.000448631
2040,0.0128925, 0.00918229, 0.03203, -0.00162224, -0.000411479, 0.000435141
2060,0.0128881, 0.00830071, 0.0320762, -0.00121095, -0.000398035, 0.00042131
2080,0.0128888, 0.00758996, 0.0320273, -0.000755169, -0.000382362, 0.00040704
2100,0.0128939, 0.00705582, 0.0318864, -0.000272621, -0.000364334, 0.000392261
2120,0.0129026, 0.00669856, 0.0316623, 0, -0.000343921, 0.000376936
2140,0.0129142, 0.00651812, 0.0313663, 0, -0.000321098, 0.000361037
2160,0.0129281, 0.00651601, 0.0310115, 0.000175651, -0.000295805, 0.000344527
2180,0.0129438, 0.00668789, 0.0306177, 0.000837814, -0.000268104, 0.000327417
2200,0.0129605, 0.00699705, 0.0302218, 0.00127833, -0.000238763, 0.000309941
2220,0.0129779, 0.00733304, 0.0298839, 0.00136442, -0.000210214, 0.000292845
2240,0.0129955, 0.00763111, 0.0296324, 0.00131092, -0.000183813, 0.000276541
2260,0.0130129, 0.0078745, 0.029472, 0.00123054, -0.000159811, 0.000261109
2280,0.0130298, 0.00805998, 0.0294001, 0.00110651, -0.000138172, 0.00024654
2300,0.0130461, 0.00818062, 0.0294111, 0.000912207, -0.000119024, 0.000232875
2320,0.0130615, 0.00823028, 0.0294935, 0.000644038, -0.000102565, 0.000220171
2340,0.0130758, 0.00820668, 0.0296299, 0.000311002, -8.89732e-05, 0.000208485
2360,0.0130891, 0.00811171, 0.0297986, 0, -7.83749e-05, 0.000197859
2380,0.0131013, 0.00794942, 0.0299755, 0, -7.08695e-05, 0.000188333
2400,0.0131125, 0.00772322, 0.0301357, 0, -6.6586e-05, 0.000179963
2420,0.0131227, 0.00744476, 0.0302645, -0.00019943, -6.52203e-05, 0.000172686
2440,0.013132, 0.00715323, 0.0303824, -0.000287776, -6.50593e-05, 0.000166038
2460,0.0131405, 0.00687089, 0.0305073, -0.000278005, -6.50475e-05, 0.000159715
2480,0.013148, 0.00660304, 0.0306453, -0.000244988, -6.49107e-05, 0.000153628
2500,0.0131545, 0.00635229, 0.0308016, -0.000159599, -6.44857e-05, 0.000147715
2520,0.01316, 0.0061233, 0.0309862, -1.52914e-06, -6.34653e-05, 0.00014187
2540,0.0131645, 0.00592046, 0.031213, 0, -6.14936e-05, 0.000135969
2560,0.0131678, 0.00574672, 0.0315005, 0, -5.81994e-05, 0.000129877
2580,0.0131698, 0.00560184, 0.0318718, 0, -5.32519e-05, 0.000123473
2600,0.0131704, 0.00547815, 0.0323442, 7.85847e-05, -4.67195e-05, 0.000116753
2620,0.0131695, 0.00535739, 0.0328941, 0.000149378, -3.9861e-05, 0.000110074
2640,0.0131672, 0.0052315, 0.033502, 0.000149484, -3.34223e-05, 0.000103653
2660,0.0131634, 0.00509953, 0.0341628, 0.000123786, -2.75606e-05, 9.75343e-05
2680,0.0131584, 0.00496375, -0.0343865, 3.86036e-05, -2.2422e-05, 9.17667e-05
2700,0.0131531, 0.00483128, 0.0343935, 0, -1.82344e-05, 8.64337e-05
2720,0.0131474, 0.00470267, -0.0343737, 0, -1.53276e-05, 8.1635e-05
2740,0.0131415, 0.00457776, 0.0343957, 0, -1.40343e-05, 7.74729e-05
2760,0.0131354, 0.00445638, 0.0343834, 0, -1.46464e-05, 7.4043e-05
2780,0.0131292, 0.00433832, 0.0343884, -0.00024006, -1.70836e-05, 7.13353e-05
2800,0.0131228, 0.00422342, -0.0343892, -0.0003007, -2.01147e-05, 6.89905e-05
2820,0.0131162, 0.00411171, 0.0343826, -0.000285611, -2.30044e-05, 6.67829e-05
2840,0.0131096, 0.00400302, -0.0343903, -0.000246336, -2.5582e-05, 6.46509e-05
2860,0.0131028, 0.00389737, -0.0343987, -0.000149504, -2.76884e-05, 6.25344e-05
2880,0.013096, 0.00379465, -0.0343808, 0, -2.9043e-05, 6.03336e-05
2900,0.0130891, 0.00369485, 0.0343798, 0, -2.9327e-05, 5.79333e-05
2920,0.0130821, 0.00359784, 0.0343972, 0, -2.8205e-05, 5.52112e-05
2940,0.0130751, 0.00350361, 0.0343886, 0, -2.5379e-05, 5.20552e-05
2960,0.013068, 0.00341203, -0.0343956, 0.000148305, -2.09121e-05, 4.84677e-05
2980,0.0130609, 0.00332314, -0.0343992, 0.00021896, -1.59713e-05, 4.48023e-05
3000,0.0130537, 0.00323689, 0.0343994, 0.000215435, -1.12579e-05, 4.12743e-05
3020,0.0130465, 0.00315319, 0.0343931, 0.000186656, -6.92988e-06, 3.7932e-05
3040,0.0130393, 0.00307199, -0.034376, 9.88303e-05, -3.13969e-06, 3.48226e-05
3060,0.0130322, 0.00299323, -0.0343692, 0, -1.53721e-07, 3.20297e-05
3080,0.0130251, 0.00291681, 0.0343995, 0, 0, 2.96515e-05
3100,0.0130181, 0.00284269, -0.034387, 0, 0, 2.77926e-05
3120,0.0130112, 0.00277078, -0.0343815, 0, 0, 2.64682e-05
3140,0.0130043, 0.00270092, -0.0343998, 0, -3.06032e-08, 2.5397e-05
3160,0.0129976, 0.00263311, 0.0343785, 0, -1.55659e-06, 2.44085e-05
3180,0.012991, 0.0025673, -0.0343919, 0, -2.92135e-06, 2.34552e-05
