time,c1,c2,c3,c4,c5,c6
1400,-0.0591479, -0.0498421, -0.195405, -0.000934453, 0.000882118, -0.000791886
1420,-0.0669797, -0.0394293, -0.181647, -0.000885083, 0.000818039, -0.000706615
1440,-0.0731212, -0.0328102, -0.166074, -0.000837151, 0.000736809, -0.00061428
1460,-0.0777243, -0.0298102, -0.149482, -0.00079029, 0.000645015, -0.000520748
1480,-0.0809635, -0.0303286, -0.132158, -0.000744331, 0.000544188, -0.000427466
1500,-0.0830115, -0.0342035, -0.11419, -0.000699153, 0.0004352, -0.000335215
1520,-0.0840325, -0.040899, -0.0957283, -0.000654726, 0.000321247, -0.000246289
1540,-0.0841764, -0.0498067, -0.0767411, -0.000611122, 0.000204813, -0.000162222
1560,-0.0835648, -0.0607621, -0.0566372, -0.000568409, 8.41905e-05, -8.16074e-05
1580,-0.0822876, -0.0729418, -0.0351631, -0.000526645, -3.79832e-05, -6.07002e-06
1600,-0.0804144, -0.0849737, -0.0124241, -0.000486, -0.000156344, 6.12308e-05
1620,-0.0780319, -0.0901101, 0.00583336, -0.000447001, -0.000228727, 9.48757e-05
1640,-0.0753493, -0.0867382, 0.0162144, -0.000411019, -0.000244676, 9.2698e-05
1660,-0.0725301, -0.080279, 0.0224772, -0.000378578, -0.000239649, 7.95263e-05
1680,-0.0696611, -0.0733613, 0.0269454, -0.000349506, -0.000230486, 6.62222e-05
1700,-0.0667948, -0.0660582, 0.029501, -0.000323469, -0.000216746, 5.25903e-05
1720,-0.0639879, -0.0579832, 0.0292527, -0.000300242, -0.00019422, 3.64147e-05
1740,-0.061302, -0.0491242, 0.0256682, -0.000279675, -0.000161006, 1.69134e-05
1760,-0.0587969, -0.0396507, 0.0185658, -0.000261648, -0.000116756, -5.90028e-06
1780,-0.0565239, -0.0298057, 0.00818562, -0.000246043, -6.25919e-05, -3.14012e-05
1800,-0.0545197, -0.0197575, -0.00490376, -0.000232721, -5.01799e-07, -5.87447e-05
1820,-0.0528075, -0.00931287, -0.0203382, -0.000221544, 6.89285e-05, -8.79916e-05
1840,-0.0513944, 0.00161574, -0.0370836, -0.000212369, 0.000142663, -0.000118125
1860,-0.0502615, 0.0129663, -0.0535196, -0.000205008, 0.000215537, -0.000147221
1880,-0.0493675, 0.0250998, -0.0688985, -0.000199249, 0.000286197, -0.00017527
1900,-0.0486621, 0.0384773, -0.082794, -0.000194906, 0.00035474, -0.000202909
1920,-0.0480577, 0.0487364, -0.0879244, -0.000191671, 0.000390152, -0.000215172
1940,-0.0473828, 0.0530989, -0.083128, -0.000188771, 0.000383245, -0.000207287
1960,-0.0465576, 0.0543896, -0.0750179, -0.000185758, 0.000360076, -0.00019192
1980,-0.0455787, 0.0545013, -0.066763, -0.000182519, 0.000334138, -0.000175714
2000,-0.044466, 0.0534436, -0.0584724, -0.000179055, 0.000305552, -0.000158667
2020,-0.0432359, 0.0506426, -0.0496931, -0.000175332, 0.000271318, -0.00013916
2040,-0.041911, 0.0455599, -0.0407897, -0.000171302, 0.000232225, -0.000118127
2060,-0.0405258, 0.0385521, -0.0317177, -0.000166935, 0.000187687, -9.4586e-05
2080,-0.0391014, 0.0300313, -0.0225495, -0.000162194, 0.000138226, -6.85626e-05
2100,-0.0376579, 0.0204037, -0.0134001, -0.000157065, 8.51557e-05, -4.07693e-05
2120,-0.0362118, 0.0100625, -0.00423125, -0.000151555, 2.94972e-05, -1.18052e-05
2140,-0.034773, -0.000975204, 0.00541009, -0.000145675, -2.98143e-05, 1.87557e-05
2160,-0.033343, -0.0123275, 0.0158045, -0.000139433, -9.22879e-05, 5.05054e-05
2180,-0.031916, -0.0230461, 0.0268515, -0.000132862, -0.000154787, 8.16922e-05
2200,-0.0304894, -0.0281836, 0.0343469, -0.00012613, -0.000191491, 9.96554e-05
2220,-0.0290912, -0.0270982, 0.0364831, -0.000119703, -0.000195632, 0.000101686
2240,-0.0277416, -0.0239974, 0.0363635, -0.000113817, -0.000187851, 9.81838e-05
2260,-0.0264453, -0.0207189, 0.0356438, -0.000108496, -0.000177963, 9.39012e-05
2280,-0.0252022, -0.017158, 0.0340339, -0.00010371, -0.000164672, 8.82431e-05
2300,-0.024018, -0.0131681, 0.0310508, -9.94593e-05, -0.000145867, 8.02593e-05
2320,-0.0229016, -0.00889284, 0.0265677, -9.57563e-05, -0.00012119, 6.97975e-05
2340,-0.0218633, -0.00455239, 0.0206743, -9.261e-05, -9.1116e-05, 5.70408e-05
2360,-0.0209131, -0.000325507, 0.0135689, -9.00214e-05, -5.6397e-05, 4.22417e-05
2380,-0.0200605, 0.00381105, 0.00524009, -8.79892e-05, -1.66064e-05, 2.50763e-05
2400,-0.0193155, 0.00791251, -0.00420168, -8.65191e-05, 2.82757e-05, 5.34505e-06
2420,-0.0186735, 0.01037, -0.010365, -8.55512e-05, 5.82411e-05, -8.12707e-06
2440,-0.0180818, 0.0107291, -0.0115586, -8.48069e-05, 6.51544e-05, -1.14446e-05
2460,-0.0175062, 0.010391, -0.011061, -8.41166e-05, 6.40825e-05, -1.11767e-05
2480,-0.0169373, 0.00989785, -0.0102044, -8.34359e-05, 6.12283e-05, -1.00743e-05
2500,-0.016369, 0.00909757, -0.00853075, -8.27383e-05, 5.42821e-05, -7.02572e-06
2520,-0.0157903, 0.00792303, -0.0057258, -8.19753e-05, 4.15732e-05, -1.1836e-06
2540,-0.0151876, 0.00642317, -0.00166339, -8.10916e-05, 2.23701e-05, 7.85952e-06
2560,-0.0145457, 0.00474187, 0.00370109, -8.00306e-05, -3.56806e-06, 2.02497e-05
2580,-0.0138492, 0.00314683, 0.0102719, -7.87434e-05, -3.56581e-05, 3.56885e-05
2600,-0.0130938, 0.00257404, 0.0147271, -7.72433e-05, -5.70932e-05, 4.61371e-05
2620,-0.0123177, 0.00296528, 0.0156645, -7.57222e-05, -6.08823e-05, 4.82149e-05
2640,-0.0115449, 0.0035634, 0.015497, -7.4291e-05, -5.9194e-05, 4.76675e-05
2660,-0.0107805, 0.00416603, 0.014932, -7.29706e-05, -5.55887e-05, 4.61759e-05
2680,-0.0103788, 0.00432566, 0.0134794, -7.17805e-05, -4.83172e-05, 4.25763e-05
2700,-0.010202, 0.00424279, 0.0108906, -7.07526e-05, -3.57185e-05, 3.62617e-05
2720,-0.00999628, 0.00418735, 0.00704071, -6.99314e-05, -1.65308e-05, 2.68746e-05
2740,-0.0098525, 0.00411638, 0.00197913, -6.93614e-05, 8.92765e-06, 1.44189e-05
2760,-0.00970859, 0.00406584, -0.00417782, -6.90814e-05, 4.03557e-05, -1.0031e-06
2780,-0.00956468, 0.0040083, -0.0082435, -6.90786e-05, 6.1488e-05, -1.17043e-05
2800,-0.00941525, 0.00392678, -0.00897044, -6.9177e-05, 6.56155e-05, -1.43189e-05
2820,-0.00930975, 0.0039004, -0.00866204, -6.92712e-05, 6.42916e-05, -1.43241e-05
2840,-0.00916468, 0.00381249, -0.00803933, -6.93365e-05, 6.13563e-05, -1.34643e-05
2860,-0.00905022, 0.0037621, -0.00666073, -6.93493e-05, 5.42801e-05, -1.05334e-05
2880,-0.00891651, 0.00368849, -0.00430226, -6.92692e-05, 4.18634e-05, -4.84769e-06
2900,-0.00882787, 0.00364754, -0.000851709, -6.90497e-05, 2.32685e-05, 3.97907e-06
2920,-0.00869267, 0.0035735, 0.00370667, -6.86429e-05, -1.51788e-06, 1.60373e-05
2940,-0.00857489, 0.00349801, 0.00927538, -6.80067e-05, -3.21467e-05, 3.10429e-05
2960,-0.008435, 0.00343624, 0.0130114, -6.71512e-05, -5.30409e-05, 4.11348e-05
2980,-0.00831199, 0.00335944, 0.0137354, -6.62416e-05, -5.76342e-05, 4.30028e-05
3000,-0.00819177, 0.00328446, 0.0135175, -6.53759e-05, -5.70802e-05, 4.22991e-05
3020,-0.0080802, 0.003205, 0.0129916, -6.4575e-05, -5.48265e-05, 4.07577e-05
3040,-0.00794595, 0.00315998, 0.0117446, -6.3859e-05, -4.85087e-05, 3.72391e-05
3060,-0.00783638, 0.00308782, 0.00956469, -6.32632e-05, -3.69747e-05, 3.11402e-05
3080,-0.00776282, 0.00299656, 0.00633246, -6.28223e-05, -1.94892e-05, 2.20806e-05
3100,-0.00766404, 0.0029273, 0.00205994, -6.25762e-05, 4.10728e-06, 9.99925e-06
3120,-0.00757974, 0.00285477, -0.000873871, -6.25375e-05, 2.04365e-05, 1.48119e-06
