time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z
1160,-1.40104, -9.60218, 0.465503,3.62445, -1.87378, 0.910823,0.854908, 0.490794, -0.210694
1180,-2.51185, -9.55278, 1.27522,3.53632, -2.40358, 0.307172,0.852759, 0.485864, -0.198533
1200,-2.7498, -9.48558, 2.04921,3.04366, -2.36871, -0.407868,0.856741, 0.455551, -0.185039
1220,-2.31207, -9.51512, 2.59157,2.17933, -2.02349, -1.47947,0.89838, 0.436647, -0.160352
1240,-0.97188, -9.6545, 2.9322,1.07841, -1.42664, -2.69904,0.897184, 0.431693, -0.161864
1260,1.02743, -9.71771, 2.91321,-0.0207951, -0.690159, -3.50312,0.919619, 0.350027, -0.129304
1280,0.88841, -9.67819, 2.7362,-0.951742, 0.041916, -3.69699,0.963811, 0.270612, -0.116414
1300,0.412617, -9.69181, 2.40076,-1.69569, 0.705561, -3.43188,0.973367, 0.213177, -0.122278
1320,0.659778, -9.7121, 2.11873,-2.33509, 1.38402, -2.9042,0.946685, 0.155426, -0.145524
1340,0.951047, -9.68262, 1.51516,-3.06418, 2.18408, -2.28105,0.978641, 0.0931121, -0.16802
1360,2.00817, -9.63175, 0.866414,-3.54971, 2.69145, -1.84941,0.962528, 0.0807997, -0.219925
1380,2.83029, -9.55141, 0.272632,-3.58448, 2.7488, -1.71902,0.965192, 0.0595697, -0.257337
1400,3.19879, -9.49031, -0.216426,-3.36831, 2.63946, -1.69972,0.951661, 0.0597111, -0.303215
1420,3.53165, -9.3314, -0.609651,-3.02876, 2.53524, -1.67251,0.93041, 0.0475607, -0.3542
1440,3.87051, -9.1859, -0.909371,-2.63219, 2.43473, -1.64973,0.924175, 0.0205605, -0.381282
1460,4.20626, -9.02362, -1.13209,-2.20053, 2.33659, -1.62266,0.904897, 0.0172647, -0.45421
1480,4.51059, -8.86456, -1.22744,-1.73371, 2.24208, -1.58915,0.873701, 0.014723, -0.489789
1500,4.84128, -8.70072, -1.23757,-1.23473, 2.14877, -1.5588,0.866091, -0.00734197, -0.524609
1520,5.16391, -8.55794, -1.16003,-0.711837, 2.05696, -1.52505,0.827425, -0.00741934, -0.558217
1540,5.44847, -8.41834, -0.991468,-0.167992, 1.96309, -1.49181,0.810328, -0.0451424, -0.583904
1560,5.70317, -8.29183, -0.731047,0.406784, 1.87196, -1.45516,0.790863, -0.0601108, -0.61418
1580,5.96147, -8.17339, -0.346795,1.00299, 1.78176, -1.41812,0.767526, -0.0888854, -0.650375
1600,6.15948, -8.04076, 0.137641,1.60297, 1.68728, -1.38029,0.745278, -0.127953, -0.658243
1620,6.37192, -7.88883, 0.644946,1.95808, 1.59887, -1.33775,0.727034, -0.177429, -0.684254
1640,6.54966, -7.677, 1.15772,2.02392, 1.51175, -1.30248,0.681742, -0.216344, -0.697255
1660,6.68552, -7.41348, 1.67031,1.97768, 1.43149, -1.26776,0.662764, -0.271231, -0.700564
1680,6.79431, -7.17484, 2.14547,1.90483, 1.35489, -1.23478,0.621404, -0.319885, -0.71205
1700,6.90272, -6.92212, 2.56783,1.80174, 1.28827, -1.20264,0.611032, -0.357497, -0.732687
1720,6.97173, -6.63349, 2.96638,1.64257, 1.2262, -1.17174,0.588766, -0.386668, -0.729137
1740,7.048, -6.36168, 3.29034,1.40709, 1.1686, -1.14656,0.552391, -0.415098, -0.738696
1760,7.1026, -6.07505, 3.60236,1.09255, 1.11837, -1.11962,0.535849, -0.440748, -0.719477
1780,7.13893, -5.83065, 3.83728,0.70648, 1.07396, -1.09695,0.491796, -0.476344, -0.71695
1800,7.18946, -5.65189, 4.00956,0.255685, 1.03864, -1.074,0.469849, -0.504372, -0.736627
1820,7.22023, -5.46142, 4.10751,-0.25587, 1.00825, -1.05286,0.416352, -0.501695, -0.744341
1840,7.23388, -5.33403, 4.14403,-0.807047, 0.980198, -1.03604,0.416329, -0.520874, -0.757494
1860,7.28471, -5.24114, 4.1387,-1.36461, 0.966238, -1.02283,0.40212, -0.509277, -0.765793
1880,7.30346, -5.24106, 4.03639,-1.91642, 0.949276, -1.00878,0.378577, -0.492423, -0.805139
1900,7.32185, -5.20751, 3.90886,-2.46514, 0.942129, -0.993967,0.333385, -0.450983, -0.837672
1920,7.33643, -5.26765, 3.75104,-2.75718, 0.93662, -0.982498,0.324913, -0.408814, -0.863152
1940,7.39782, -5.32554, 3.58497,-2.74753, 0.933278, -0.973862,0.30165, -0.374745, -0.875067
1960,7.42987, -5.39271, 3.45392,-2.62929, 0.931386, -0.96117,0.264144, -0.318808, -0.899287
1980,7.47878, -5.42793, 3.33856,-2.48951, 0.922442, -0.949961,0.267728, -0.282507, -0.927745
2000,7.50326, -5.45509, 3.20203,-2.32617, 0.913521, -0.939304,0.227382, -0.244358, -0.919543
2020,7.54456, -5.46858, 3.11935,-2.11992, 0.907948, -0.930626,0.20837, -0.215799, -0.948801
2040,7.53545, -5.47815, 3.04523,-1.8567, 0.897509, -0.917211,0.188782, -0.16075, -0.953512
2060,7.55336, -5.47141, 3.01895,-1.53785, 0.886205, -0.904002,0.149053, -0.155251, -0.987802
2080,7.60365, -5.44851, 3.03992,-1.16633, 0.873591, -0.89439,0.144962, -0.112428, -0.97243
2100,7.62079, -5.40215, 3.07979,-0.755516, 0.856795, -0.881071,0.106117, -0.118822, -0.988154
2120,7.70017, -5.3179, 3.1671,-0.310564, 0.836731, -0.867212,0.0747221, -0.105903, -0.989185
2140,7.72467, -5.21589, 3.30052,0.182432, 0.819544, -0.85253,0.0912057, -0.100477, -0.998853
2160,7.74399, -5.11044, 3.51741,0.72005, 0.798484, -0.837884,0.0958055, -0.110935, -0.984935
2180,7.76657, -4.91665, 3.74578,1.27991, 0.772561, -0.824169,0.0639408, -0.131976, -0.991193
2200,7.79048, -4.67718, 4.04271,1.61331, 0.746692, -0.808209,0.0432159, -0.16889, -0.982714
2220,7.80793, -4.42511, 4.30815,1.67086, 0.72223, -0.794428,0.0254099, -0.183907, -0.976738
2240,7.81105, -4.16047, 4.52693,1.62608, 0.697196, -0.780487,-0.00541858, -0.220931, -0.974577
2260,7.77288, -3.85932, 4.75916,1.56278, 0.676673, -0.767586,-0.010548, -0.255588, -0.944268
2280,7.78883, -3.6271, 4.9928,1.46234, 0.659311, -0.754105,-0.0467336, -0.314555, -0.971874
2300,7.76754, -3.3418, 5.16744,1.30462, 0.642089, -0.743429,-0.0659831, -0.30355, -0.953259
2320,7.77071, -3.08934, 5.33988,1.0824, 0.628316, -0.730531,-0.0635403, -0.342148, -0.930163
2340,7.72136, -2.87707, 5.4837,0.795956, 0.617597, -0.718935,-0.102627, -0.355637, -0.931264
2360,7.69647, -2.69636, 5.60341,0.453243, 0.60984, -0.712748,-0.0961683, -0.346242, -0.916832
2380,7.64956, -2.52858, 5.68419,0.0469002, 0.602212, -0.704602,-0.110865, -0.350128, -0.901073
2400,7.62527, -2.46941, 5.7232,-0.420187, 0.595251, -0.695579,-0.140688, -0.382369, -0.92153
2420,7.59341, -2.40613, 5.78889,-0.724125, 0.593104, -0.689499,-0.155681, -0.366766, -0.9288
2440,7.54366, -2.40089, 5.81852,-0.792434, 0.595968, -0.684378,-0.155938, -0.335237, -0.943425
2460,7.51181, -2.39066, 5.87756,-0.781463, 0.59461, -0.681816,-0.180307, -0.310395, -0.938684
2480,7.48402, -2.3508, 5.94682,-0.754031, 0.593508, -0.674641,-0.174281, -0.287522, -0.940708
2500,7.43424, -2.34786, 5.97832,-0.676958, 0.595114, -0.666946,-0.216021, -0.275273, -0.931142
2520,7.40217, -2.32727, 6.0889,-0.530478, 0.595116, -0.661908,-0.228054, -0.253195, -0.947094
2540,7.36889, -2.29128, 6.13876,-0.310129, 0.591025, -0.658639,-0.242687, -0.233235, -0.940676
2560,7.31374, -2.2209, 6.23873,-0.00976463, 0.588638, -0.656188,-0.2415, -0.243885, -0.946949
2580,7.26661, -2.10487, 6.34151,0.368264, 0.584703, -0.648277,-0.261753, -0.244208, -0.927573
2600,7.21843, -1.95157, 6.45744,0.615227, 0.578437, -0.641448,-0.29163, -0.251967, -0.911862
2620,7.1398, -1.78802, 6.55205,0.670301, 0.573411, -0.634685,-0.285928, -0.274736, -0.931063
2640,7.12335, -1.58634, 6.68703,0.671301, 0.565987, -0.628565,-0.302254, -0.274301, -0.921044
2660,7.07405, -1.40366, 6.78604,0.645931, 0.563196, -0.622324,-0.310421, -0.272479, -0.919608
2680,6.99584, -1.24858, 6.71377,0.565337, 0.557099, -0.619927,-0.34751, -0.290914, -0.904879
2700,6.95027, -1.08827, 6.96921,0.415072, 0.555296, -0.6135,-0.343977, -0.279086, -0.887236
2720,6.86628, -0.98218, 6.82829,0.186344, 0.552758, -0.610364,-0.365816, -0.28203, -0.882043
2740,6.81069, -0.868961, 7.09572,-0.125746, 0.549105, -0.607411,-0.372687, -0.277218, -0.889801
2760,6.73871, -0.875216, 7.13301,-0.50916, 0.551806, -0.60279,-0.373062, -0.286692, -0.880576
2780,6.66495, -0.861232, 7.19442,-0.755962, 0.554119, -0.599007,-0.396208, -0.240712, -0.874033
2800,6.62298, -0.879661, 7.07789,-0.80149, 0.552007, -0.596504,-0.417083, -0.244623, -0.893884
2820,6.50927, -0.923712, 7.31031,-0.787522, 0.559568, -0.596718,-0.426259, -0.223032, -0.882143
2840,6.45498, -0.96211, 7.19242,-0.75322, 0.561755, -0.593417,-0.442274, -0.209933, -0.867326
2860,6.40373, -1.03473, 7.24741,-0.663583, 0.563817, -0.594003,-0.453533, -0.175337, -0.87644
2880,6.31313, -1.01516, 7.30872,-0.510996, 0.564502, -0.590961,-0.459586, -0.182152, -0.888059
2900,6.25371, -0.981918, 7.55528,-0.275951, 0.563441, -0.589054,-0.472123, -0.160509, -0.863859
2920,6.16698, -0.926279, 7.63888,0.0366133, 0.564096, -0.586599,-0.466203, -0.139579, -0.863892
2940,6.08442, -0.832517, 7.73442,0.426587, 0.560949, -0.582348,-0.489849, -0.135879, -0.869938
2960,6.01866, -0.672847, 7.65758,0.675369, 0.556108, -0.581841,-0.520547, -0.144015, -0.865252
2980,5.93461, -0.483549, 7.70599,0.731589, 0.5508, -0.577016,-0.53743, -0.157125, -0.844565
3000,5.86819, -0.302075, 7.96843,0.724456, 0.547683, -0.57224,-0.52542, -0.138743, -0.821141
3020,5.79203, -0.126646, 8.04252,0.6989, 0.543301, -0.572498,-0.536914, -0.168507, -0.813989
3040,5.68478, 0.0461852, 7.94485,0.620461, 0.541021, -0.567318,-0.546523, -0.182516, -0.811857
3060,5.61271, 0.183967, 7.99049,0.469875, 0.537284, -0.566628,-0.563357, -0.177143, -0.822677
3080,5.50284, 0.313945, 8.21781,0.240375, 0.535398, -0.564637,-0.577551, -0.176014, -0.797035
3100,5.42634, 0.382005, 8.08216,-0.0708205, 0.53519, -0.560857,-0.584465, -0.159491, -0.786937
3120,5.35071, 0.421935, 8.12315,-0.269898, 0.537014, -0.562084,-0.584007, -0.167297, -0.777168
3140,5.24439, 0.446366, 8.14942,-0.312379, 0.539096, -0.559588,-0.612262, -0.151256, -0.772322
3160,5.14291, 0.444178, 8.41182,-0.310621, 0.539532, -0.558889,-0.624279, -0.134462, -0.78023
3180,5.05842, 0.453397, 8.29603,-0.276664, 0.540476, -0.557782,-0.616297, -0.119326, -0.775781
3200,4.96467, 0.457794, 8.51524,-0.186619, 0.541133, -0.559726,-0.637991, -0.117255, -0.77167
3220,4.85981, 0.48513, 8.4164,-0.0113544, 0.541675, -0.557788,-0.651415, -0.113055, -0.757146
3240,4.74881, 0.560352, 8.47948,0.244101, 0.538478, -0.555631,-0.64742, -0.105853, -0.762444
3260,4.68876, 0.691138, 8.51836,0.407974, 0.53592, -0.551762,-0.657643, -0.0852716, -0.764451
3280,4.56861, 0.796264, 8.5755,0.438579, 0.539721, -0.552276,-0.66552, -0.0927192, -0.727026
3300,4.46474, 0.932576, 8.79431,0.438054, 0.536838, -0.550698,-0.678742, -0.104077, -0.727037
3320,4.35029, 1.05789, 8.82776,0.405335, 0.535338, -0.547978,-0.691914, -0.0831332, -0.713802
3340,4.24586, 1.14491, 8.87544,0.304026, 0.530292, -0.547582,-0.707449, -0.0914044, -0.707267
3360,4.14645, 1.23737, 8.73597,0.122423, 0.529627, -0.547421,-0.686772, -0.092933, -0.720164
3380,4.0191, 1.29204, 8.75418,0.00763445, 0.530248, -0.54904,-0.724638, -0.0988122, -0.690066
3400,3.92987, 1.33977, 8.95428,-0.00909397, 0.532017, -0.544557,-0.72814, -0.0693895, -0.690686
3420,3.80725, 1.40323, 8.85502,0.00236014, 0.532294, -0.545418,-0.712797, -0.0581567, -0.676938
3440,3.70128, 1.39887, 9.06639,0.0595464, 0.52918, -0.543931,-0.729318, -0.0714081, -0.671555
3460,3.60435, 1.47178, 8.92239,0.184524, 0.530972, -0.544155,-0.774914, -0.0574572, -0.66093
3480,3.49237, 1.56295, 9.11859,0.389891, 0.526578, -0.544112,-0.755683, -0.0544934, -0.659548
3500,3.38779, 1.69111, 9.16313,0.522887, 0.524503, -0.541217,-0.753452, -0.0448074, -0.668356
3520,3.24572, 1.83928, 8.98966,0.547478, 0.525672, -0.539646,-0.776886, -0.0571693, -0.643289
3540,3.1457, 1.95895, 9.00705,0.542588, 0.521482, -0.536193,-0.767393, -0.0421608, -0.64299
